I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
I,13011147,A,,130,11,147,TOYOTA,HILUX 2.8 D 4X4 (CABINA DOPBILCEK)-UP,,,,,,,,,,,,,,,,,,,,7960700,7581600,7220600,6843100,6517200,6206900,5896500
I,13011036,A,,130,11,036,TOYOTA,HILUX 2.8 D CABINA DOBLE PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900
I,13011035,A,,130,11,035,TOYOTA,HILUX 2.8 D CABINA SIMPLE PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900,4929500
I,13082759,A,,130,82,759,TOYOTA,HILUX 2700 EFI PICK-UP CABINA DOBLE,,,,,,,,,,,,,,,,,,,,,4070000,3866500,3655100,3472400,,
I,13011049,A,,130,11,049,TOYOTA,HILUX 4X2 (CABINA DOBLE) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900
I,13011056,A,,130,11,056,TOYOTA,HILUX 4X2 (CABINA SIMPLE) PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900,4929500
N,0306870,A,030,68,20,70,TOYOTA,HILUX 4X2 C/D DX PACK ELECPTIRCKIC-OU P2.5 TDI - H3,,,,,,,,,,14111500,13550900,13243000,12872500,12504700,12139000,9577000,9272000,9028000,8741200,8498300,,,,,,
N,0306871,A,030,68,20,71,TOYOTA,HILUX 4X2 C/D SR 3.0 TDI - B3PICK-UP,,,,,,,,,,,16630700,16014700,15324400,14711400,13115000,12688000,12383000,11895000,11230000,10622900,10091800,9587200,9063200,8610000,8179500,
N,0306874,A,030,68,20,74,TOYOTA,HILUX 4X2 C/D SRV 2.7 VVTI -P AIC3K-UP,,,,,,,,,,,16014700,15398800,14711400,14098400,,,,,,,9429500,8958000,8468400,8045000,,
N,0306875,A,030,68,20,75,TOYOTA,HILUX 4X2 C/D SRV 2.7 VVTI CPUICEKR-UOP - B4,,,,,,,,,,,16322700,15706800,15017900,,,,,,,,,,,,,
N,0306872,A,030,68,20,72,TOYOTA,HILUX 4X2 C/D SRV 3.0 TDI - BP3ICK-UP,,,,,,,,,,,17246700,16630700,15937400,15324400,13725000,13298000,12993000,12505000,11837000,11230000,10668500,,,,,
N,0306873,A,030,68,20,73,TOYOTA,HILUX 4X2 C/D SRV 3.0 TDI CUPIECRKO-U -P E4,,,,,,,,,,,17554600,16938700,16243900,15569600,13969000,13542000,13237000,12688000,12019100,11412100,10841500,10299400,,,,
N,03068AF,A,030,68,20,AF,TOYOTA,HILUX 4X2 C/S DX 2.4 TDI 6 MP/ICTK-UP,,,,,,15635100,14683900,14084900,13120100,12677400,12302600,,,,,,,,,,,,,,,
N,0306868,A,030,68,20,68,TOYOTA,HILUX 4X2 C/S DX PACK 2.5 TPDIIC -K D-U3P,,,,,,,,,,13740200,13243000,12688600,12136900,11340100,,,,,,,,,,,,
N,0306804,A,030,68,20,04,TOYOTA,HILUX 4X2 CABINA DOBLE DLPXICK-UP,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900,4929500
N,0306822,A,030,68,20,22,TOYOTA,HILUX 4X2 CABINA DOBLE DXP 2IC.5K -TUDP,,,,,,,,,,,,,,10114100,9577000,9272000,9028000,8784000,8498300,8194800,7891300,,,,,
N,0306819,A,030,68,20,19,TOYOTA,HILUX 4X2 CABINA DOBLE DXP 2IC.7K-UP,,,,,,,,,,,,,,,,,,,,,4070000,3866500,3655100,3472400,,
N,0306831,A,030,68,20,31,TOYOTA,HILUX 4X2 CABINA DOBLE DXP 2IC.7K -VUVPT-i,,,,,,,,,,,,,,,,,,,,,4070000,3866500,3655100,3472400,,
N,0306810,A,030,68,20,10,TOYOTA,HILUX 4X2 CABINA DOBLE DXP 3IC.0K-UP,,,,,,,,,,,,,,,,,,,,,4769500,4531000,4283400,4069200,3865700,3672400
N,0306836,A,030,68,20,36,TOYOTA,HILUX 4x2 CABINA DOBLE DXP PICAKC-KU P2.5 TD,,,,,,,,,,14111500,13550900,13243000,12872500,12504700,12139000,9577000,9272000,9028000,8741200,8498300,,,,,,
N,0306850,A,030,68,20,50,TOYOTA,HILUX 4X2 CABINA DOBLE DXP PICAKC-UK P2.5 TDI,,,,,,,,,,14111500,13550900,13243000,12872500,12504700,12139000,9577000,9272000,9028000,8741200,8498300,,,,,,
N,0306867,A,030,68,20,67,TOYOTA,HILUX 4X2 CABINA DOBLE DXP PICAKC-UK PII 2.5 TDI,,,,,,,,,,14111500,13550900,13243000,12872500,12504700,12139000,9577000,9272000,9028000,8741200,8498300,,,,,,
N,0306823,A,030,68,20,23,TOYOTA,HILUX 4X2 CABINA DOBLE SRP 3IC.0K -TUDPi,,,,,,,,,,,16630700,16014700,15324400,14711400,13115000,12688000,12383000,11895000,11230000,10622900,10091800,9587200,9063200,8610000,8179500,
N,0306838,A,030,68,20,38,TOYOTA,HILUX 4X2 CABINA DOBLE SRP CIC/KA-BU 3P.0 TDI,,,,,,,,,,,16630700,16014700,15324400,14711400,13115000,12688000,12383000,11895000,11230000,10622900,10091800,9587200,9063200,8610000,8179500,
N,0306820,A,030,68,20,20,TOYOTA,HILUX 4X2 CABINA DOBLE SRPVI C2K.7-UP,,,,,,,,,,,16630700,16014700,15324400,14711400,13115000,12688000,12383000,11895000,11230000,10622900,10091800,9587200,9063200,8610000,8179500,
N,0306860,A,030,68,20,60,TOYOTA,HILUX 4X2 CABINA DOBLE SRPVI C2K.7-U VPVT-I,,,,,,,,,,,16014700,15398800,14711400,14098400,,,,,,,9429500,8958000,8468400,8045000,,
N,0306861,A,030,68,20,61,TOYOTA,HILUX 4X2 CABINA DOBLE SRPVI C2K.7-U VPVT-I C/CUERO,,,,,,,,,,,16322700,15706800,15017900,,,,,,,,,,,,,
N,0306811,A,030,68,20,11,TOYOTA,HILUX 4X2 CABINA DOBLE SRPVI C3K.0-UP,,,,,,,,,,,,,,,,,,,,4833100,4705900,4470600,4226300,4014900,3814200,3623500
N,0306824,A,030,68,20,24,TOYOTA,HILUX 4X2 CABINA DOBLE SRPVI C3K.0-U TPDI,,,,,,,,,,,17246700,16630700,15937400,15324400,13725000,13298000,12993000,12505000,11837000,11230000,10668500,,,,,
N,0306841,A,030,68,20,41,TOYOTA,HILUX 4X2 CABINA DOBLE SRPVI C3K.0-U TPDI C/CUERO,,,,,,,,,,,17554600,16938700,16243900,15569600,13969000,13542000,13237000,12688000,12019100,11412100,10841500,10299400,,,,
N,0306843,A,030,68,20,43,TOYOTA,HILUX 4X2 CABINA DOBLE STPDI C2K.5-U TPD,,,,,,,,,,,,,,10114100,9577000,9272000,9028000,8784000,8498300,8194800,7891300,,,,,
N,0306845,A,030,68,20,45,TOYOTA,HILUX 4X2 CABINA DOBLE STPDI C2K.5-U TPDI,,,,,,,,,,,,,,10114100,9577000,9272000,9028000,8784000,8498300,8194800,7891300,,,,,
N,0306821,A,030,68,20,21,TOYOTA,HILUX 4X2 CABINA SIMPLE DPXI C2.K5- UTDP,,,,,,,,,,,,,11340100,11033600,9272000,9028000,8784000,8540000,8194800,7891300,7496800,,,,,
N,0306846,A,030,68,20,46,TOYOTA,HILUX 4X2 CABINA SIMPLE DPXI C2.K5- UTDPI,,,,,,,,,,,,,11340100,11033600,9272000,9028000,8784000,8540000,8194800,7891300,7496800,,,,,
N,0306817,A,030,68,20,17,TOYOTA,HILUX 4X2 CABINA SIMPLE DPXI C2.K7-UP,,,,,,,,,,,,,,,,,,,,,4006400,3806000,3598000,3418100,,
N,0306830,A,030,68,20,30,TOYOTA,HILUX 4X2 CABINA SIMPLE DPXI C2.K7- UVPVT-i,,,,,,,,,,,,,,,,,,,,,4769500,4531000,4283400,4069200,3865700,3672400
N,0306852,A,030,68,20,52,TOYOTA,HILUX 4X2 CABINA SIMPLE DPXI CPKA-CUKP 2.5 TDI,,,,,,,,,,13740200,13243000,12688600,12136900,11340100,,,,,,,,,,,,
N,0306818,A,030,68,20,18,TOYOTA,HILUX 4X2 CABINA SIMPLE SRPVIC 2K.-UP,,,,,,,,,,,,,,,,,,,,,4133500,3926900,3712200,3526600,,
N,0306801,A,030,68,20,01,TOYOTA,HILUX 4x2 Cabina Simple STDPICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,5010600,4760100
N,0306809,A,030,68,20,09,TOYOTA,HILUX 4X2 CABINA SIMPLE STPDIC 3K.-UP,,,,,,,,,,,,,,,,,,,,,4451500,4228900,3997800,3797900,3608000,3427600
N,03068BX,A,030,68,26,BX,TOYOTA,HILUX 4X2 CC DX 2.4 TDI 6 MCTHASIS CON CABINA,,25660000,19140000,17800000,16560000,15400000,,,,,,,,,,,,,,,,,,,,
N,0306853,A,030,68,40,53,TOYOTA,HILUX 4X2 COVER DX PACK 2T.5O TDDOI TERRENO,,,,,,,,,,,13427700,13058200,12504700,11646600,,,,,,,,,,,,
N,0306869,A,030,68,20,69,TOYOTA,HILUX 4X2 COVER DX PACK 2P.5IC TKD-UI -P I3,,,,,,,,,,,,,11524000,10972300,10248000,9638000,9333000,,,,,,,,,
N,0306854,A,030,68,20,54,TOYOTA,HILUX 4X2 COVER DX PACK 2P.5IC TKD-UI CPON VENTANAS,,,,,,,,,,,13489300,13119800,12566000,11646600,,,,,,,,,,,,
N,03068BS,A,030,68,20,BS,TOYOTA,HILUX 4X2 CS DX 2.4 TDI 6 MPTICK-UP,,27670000,20640000,19200000,17850000,16600000,,,,,,,,,,,,,,,,,,,,
N,03068AD,A,030,68,20,AD,TOYOTA,HILUX 4X2 D/C DX 2.4 TDI 6 MPI/CTK-UP,,,,,19169000,18229800,17229100,16464500,15306800,14916400,14499500,,,,,,,,,,,,,,,
N,03068AC,A,030,68,20,AC,TOYOTA,HILUX 4X2 D/C SR 2.4 TDI 6 MP/ICTK-UP,,,,,21767300,20791300,19741700,19133600,17810400,17218600,16727800,,,,,,,,,,,,,,,
N,03068AH,A,030,68,20,AH,TOYOTA,HILUX 4X2 D/C SR 2.8 TDI 6 MP/ICTK-UP,,,,,21767300,20791300,19741700,19133600,17810400,17218600,16727800,,,,,,,,,,,,,,,
N,03068AV,A,030,68,20,AV,TOYOTA,HILUX 4X2 D/C SRV 2.8 TDI 6 PAI/CTK-UP,,,,,26965000,25914300,24766900,23764200,22088700,,,,,,,,,,,,,,,,,
N,03068AB,A,030,68,20,AB,TOYOTA,HILUX 4X2 D/C SRV 2.8 TDI 6 PMIC/KT-UP,,,,,25648600,24616900,23494300,22510100,20916200,20182900,19458200,,,,,,,,,,,,,,,
N,03068AA,A,030,68,20,AA,TOYOTA,HILUX 4X2 D/C SRV PACK 2.8P TIDCKI 6-U MP /T,,,,,,,,22188500,21233100,20498300,19772100,,,,,,,,,,,,,,,
N,03068AT,A,030,68,20,AT,TOYOTA,HILUX 4X2 D/C SRX 2.8 TDI 6 PAI/CTK-UP,,,,,,29407200,28193100,27140700,25352900,,,,,,,,,,,,,,,,,
N,03068AU,A,030,68,20,AU,TOYOTA,HILUX 4X2 D/C SRX 2.8 TDI 6 PMIC/KT-UP,,,,,28213600,27145100,25974200,24889700,23831800,,,,,,,,,,,,,,,,,
N,03068AS,A,030,68,20,AS,TOYOTA,HILUX 4X2 D/C STD 2.4 TDI 6 PMIC/KT-UP,,,,,,,,15210400,14577900,14191100,13809000,,,,,,,,,,,,,,,
N,03068BP,A,030,68,20,BP,TOYOTA,HILUX 4X2 DC DX 2.4 TDI 6 MPTICK-UP,,31180000,23260000,21630000,20120000,18710000,,,,,,,,,,,,,,,,,,,,
N,03068BZ,A,030,68,20,BZ,TOYOTA,HILUX 4X2 DC SR 2.4 TDI 6 ATPICK-UP,,37030000,27630000,25690000,,,,,,,,,,,,,,,,,,,,,,
N,03068BR,A,030,68,20,BR,TOYOTA,HILUX 4X2 DC SR 2.4 TDI 6 MPTICK-UP,,35400000,26410000,24570000,22850000,21250000,,,,,,,,,,,,,,,,,,,,
N,03068CD,A,030,68,20,CD,TOYOTA,HILUX 4X2 DC SRV 2.8 TDI 6 APTICK-UP,,43150000,32190000,29940000,27840000,25890000,,,,,,,,,,,,,,,,,,,,
N,03068CC,A,030,68,20,CC,TOYOTA,HILUX 4X2 DC SRV 2.8 TDI 6 MPITCK-UP,,,34000000,31620000,29406600,27348100,,,,,,,,,,,,,,,,,,,,
N,03068CA,A,030,68,20,CA,TOYOTA,HILUX 4X2 DC SRX 2.8 TDI 6 APTICK-UP,,45770000,36850000,34270000,31870000,29640000,,,,,,,,,,,,,,,,,,,,
N,03068CB,A,030,68,20,CB,TOYOTA,HILUX 4X2 DC SRX 2.8 TDI 6 MPITCK-UP,,,39000000,36270000,33731100,31369900,,,,,,,,,,,,,,,,,,,,
N,0306803,A,030,68,20,03,TOYOTA,"HILUX 4X2, CABINA DOBLE STPDICK-UP",,,,,,,,,,,,,,,,,,,,,,,,,5010600,4760100
N,0306802,A,030,68,20,02,TOYOTA,"HILUX 4X2, CABINA SIMPLE DPLIXCK-UP",,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900,4929500
I,13034180,A,,130,34,180,TOYOTA,HILUX 4X2/DC SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900
I,13011184,A,,130,11,184,TOYOTA,HILUX 4X4 PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,5010600,4760100
I,13034184,A,,130,34,184,TOYOTA,HILUX 4X4 SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,5010600,4760100
I,13011055,A,,130,11,055,TOYOTA,HILUX 4X4 (CABINA DOBLE) PICK-UP,,,,,,,,,,,,,,,,,,,,7960700,7581600,7220600,6843100,6517200,6206900,5896500
I,13011066,A,,130,11,066,TOYOTA,HILUX 4X4 2.8 D (CABINA Y MPEICDKIA-U) P,,,,,,,,,,,,,,,,,,,,7960700,7581600,7220600,6843100,6517200,6206900,5896500
N,0306878,A,030,68,20,78,TOYOTA,HILUX 4X4 C/D DX PACK ELECPTIRCKIC-OU P2.5 TDI - C3,,,,,,,,,,14111500,13550900,13243000,12872500,12504700,12139000,9577000,9272000,9028000,8741200,8498300,,,,,,
N,0306879,A,030,68,20,79,TOYOTA,HILUX 4X4 C/D SR 3.0 TDI - C3PICK-UP,,,,,,,,,,,17862600,17246700,16550400,15937400,14335000,13725000,13267500,12657500,11533500,11108600,10553100,10025500,,,,
N,0306883,A,030,68,20,83,TOYOTA,HILUX 4X4 C/D SRV 2.7 VVTI -P AIC3K-UP,,,,,,,,,,,17246700,16630700,15937400,,,,,,,,,,,,,
N,0306884,A,030,68,20,84,TOYOTA,HILUX 4X4 C/D SRV 2.7 VVTI CPUICEKR-UOP - B4,,,,,,,,,,,17554600,16938700,16243900,15630900,,,,,,,,,,,,
N,0306880,A,030,68,20,80,TOYOTA,HILUX 4X4 C/D SRV 3.0 TDI - API3CK-UP,,,,,,,,,,,18478600,17862600,17163300,16550400,14762000,14274000,13847000,13237000,12565400,11533500,10956800,10409000,9840000,,,
I/N,MTM/FMM,T,Fab,Marca,Tipo,Mod,Desc. marca,Desc. Modelo Desc. Tipo,,0Km,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
N,0306882,A,030,68,20,82,TOYOTA,HILUX 4X4 C/D SRV 3.0 TDI 5APTIC CKU-UEPRO - A4,,,,,,,,,,,19094500,18478600,17776300,17163300,,,,,,,,,,,,
N,0306881,A,030,68,20,81,TOYOTA,HILUX 4X4 C/D SRV 3.0 TDI CUPIECRKO-U -P E4,,,,,,,,,,,18786500,18170600,17469800,16856800,14945000,14457000,14030000,13420000,12747500,11654900,,,,,,
N,0306898,A,030,68,20,98,TOYOTA,HILUX 4X4 C/S DX 2.4 TDI 6 MP/ICTK-UP,,,,,20316600,19493900,18599600,18008100,16859700,16398600,16005900,,,,,,,,,,,,,,,
N,0306876,A,030,68,20,76,TOYOTA,HILUX 4X4 C/S DX PACK 2.5 TPDIIC -K I-3UP,,,,,,,,,,,14290100,13982100,13485500,12872500,,,,,,,,,,,,
N,0306807,A,030,68,20,07,TOYOTA,HILUX 4X4 CABINA DOBLE DLPXICK-UP,,,,,,,,,,,,,,,,,,,,7960700,7581600,7220600,6843100,6517200,6206900,5896500
N,0306826,A,030,68,20,26,TOYOTA,HILUX 4X4 CABINA DOBLE DXP 2IC.5K -TUDP,,,,,,,,,,,,,,,10675000,9577000,9272000,9028000,8741200,8498300,8376900,,,,,
N,0306813,A,030,68,20,13,TOYOTA,HILUX 4X4 CABINA DOBLE DXP 3IC.0K-UP,,,,,,,,,,,,,,,,,,,,,4896700,4651800,4397600,4177700,3968800,3770400
N,0306837,A,030,68,20,37,TOYOTA,HILUX 4X4 CABINA DOBLE DXP PICAKC-UK P2.5 TD,,,,,,,,,,,14474900,13858900,13362900,13056400,12688000,12383000,11895000,11285000,10622900,10015900,,,,,,
N,0306851,A,030,68,20,51,TOYOTA,HILUX 4X4 CABINA DOBLE DXP PICAKC-UK P2.5 TDI,,,,,,,,,,,14474900,13858900,13362900,13056400,12688000,12383000,11895000,11285000,10622900,10015900,,,,,,
N,0306866,A,030,68,20,66,TOYOTA,HILUX 4X4 CABINA DOBLE DXP PICAKC-UK PII 2.5 TDI,,,,,,,,,,,14474900,13858900,13362900,13056400,12688000,12383000,11895000,11285000,10622900,10015900,,,,,,
N,0306814,A,030,68,20,14,TOYOTA,HILUX 4X4 CABINA DOBLE SRP 3IC.0K-UP,,,,,,,,,,,,,,,,,,,,,4801300,4561200,4311900,4096300,3891500,3696900
N,0306815,A,030,68,20,15,TOYOTA,HILUX 4X4 CABINA DOBLE SRP 3IC.0K-UP,,,,,,,,,,,,,,,,,,,,,4801300,4561200,4311900,4096300,3891500,3696900
N,0306827,A,030,68,20,27,TOYOTA,HILUX 4X4 CABINA DOBLE SRP 3IC.0K -TUDPI,,,,,,,,,,,17862600,17246700,16550400,15937400,14335000,13725000,13267500,12657500,11533500,11108600,10553100,10025500,,,,
N,0306839,A,030,68,20,39,TOYOTA,HILUX 4X4 CABINA DOBLE SRP CIC/KA-BU 3P.0 TDI,,,,,,,,,,,17862600,17246700,16550400,15937400,14335000,13725000,13267500,12657500,11533500,11108600,10553100,10025500,,,,
N,0306862,A,030,68,20,62,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C2K.7-U VPVT-I,,,,,,,,,,,17246700,16630700,15937400,,,,,,,,,,,,,
N,0306863,A,030,68,20,63,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C2K.7-U VPVT-I C/CUERO,,,,,,,,,,,17554600,16938700,16243900,15630900,,,,,,,,,,,,
N,0306816,A,030,68,20,16,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C3K.0-UP,,,,,,,,,,,,,,,,,,,,,5055600,4802900,4540400,4313300,4097700,3892800
N,0306828,A,030,68,20,28,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C3K.0-U TPDi,,,,,,,,,,,18478600,17862600,17163300,16550400,14762000,14274000,13847000,13237000,12565400,11533500,10956800,10409000,9840000,,,
N,0306858,A,030,68,20,58,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C3K.0-U TPDI 5 A/T C/CUERO,,,,,,,,,,,19094500,18478600,17776300,17163300,,,,,,,,,,,,
N,0306829,A,030,68,20,29,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C3K.0-U TPDi A/T,,,,,,,,,,,,,15937400,15324400,14640000,14152000,13542000,12932000,12261900,11654900,10926400,,,,,
N,0306842,A,030,68,20,42,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C3K.0-U TPDI A/T C/CUERO,,,,,,,,,,,,,15937400,15324400,14640000,14152000,13542000,12932000,12261900,11654900,10926400,,,,,
N,0306840,A,030,68,20,40,TOYOTA,HILUX 4X4 CABINA DOBLE SRPVI C3K.0-U TPDI C/CUERO,,,,,,,,,,,18786500,18170600,17469800,16856800,14945000,14457000,14030000,13420000,12747500,11654900,,,,,,
N,0306825,A,030,68,20,25,TOYOTA,HILUX 4X4 CABINA SIMPLE DPXI C2.K5- UTDP,,,,,,,,,,,,,12382100,12075600,11712000,10980000,9272000,9028000,8741200,8498300,8073400,,,,,
N,0306848,A,030,68,20,48,TOYOTA,HILUX 4X4 CABINA SIMPLE DPXI C2.K5- UTDPI,,,,,,,,,,,,,12382100,12075600,11712000,10980000,9272000,9028000,8741200,8498300,8073400,,,,,
N,0306812,A,030,68,20,12,TOYOTA,HILUX 4X4 CABINA SIMPLE DPXI C3.K0-UP,,,,,,,,,,,,,,,,,,,,,4642300,4410200,4169100,3960700,3762600,3574500
N,0306855,A,030,68,20,55,TOYOTA,HILUX 4X4 CABINA SIMPLE DPXI CPKA-CUKP 2.5 TDI,,,,,,,,,,,14290100,13982100,13485500,12872500,,,,,,,,,,,,
N,03068CE,A,030,68,26,CE,TOYOTA,HILUX 4X4 CC DX 2.4 TDI 6 MCTHASIS CON CABINA,,31650000,23610000,21960000,20420000,18990000,,,,,,,,,,,,,,,,,,,,
N,0306856,A,030,68,20,56,TOYOTA,HILUX 4X4 COVER DX PACK 2P.5IC TKD-UI P,,,,,,,,,,,14043700,13674100,13117700,12566000,,,,,,,,,,,,
N,0306877,A,030,68,20,77,TOYOTA,HILUX 4X4 COVER DX PACK 2P.5IC TKD-UI -P L3,,,,,,,,,,,,,12627300,12014300,11346000,10736000,10187000,,,,,,,,,
N,0306857,A,030,68,20,57,TOYOTA,HILUX 4X4 COVER DX PACK 2P.5IC TKD-UI CPON VENTANAS,,,,,,,,,,,14105300,14043700,13546800,12872500,,,,,,,,,,,,
N,03068BN,A,030,68,20,BN,TOYOTA,HILUX 4X4 CS DX 2.4 TDI 6 MPTICK-UP,,33360000,24890000,23150000,21530000,20020000,,,,,,,,,,,,,,,,,,,,
N,0306897,A,030,68,20,97,TOYOTA,HILUX 4X4 D/C DX 2.4 TDI 6 MPI/CTK-UP,,,,,22138700,21423300,20622800,19937500,18697800,18290800,17889000,,,,,,,,,,,,,,,
N,03068BA,A,030,68,20,BA,TOYOTA,HILUX 4X4 D/C GR-S 2.8 TDI 6P IAC/KT-UP,,,,,41000000,38000000,36000000,34000000,,,,,,,,,,,,,,,,,,
N,03068BB,A,030,68,20,BB,TOYOTA,HILUX 4X4 D/C GR-S 2.8 TDI 6P IMCK/T-UP,,,,,40000000,37500000,35000000,33000000,,,,,,,,,,,,,,,,,,
N,03068BF,A,030,68,20,BF,TOYOTA,HILUX 4X4 D/C GR-S II 2.8 TDPI I6C AK-/UTP,,,,,45000000,42000000,,,,,,,,,,,,,,,,,,,,
N,03068BE,A,030,68,20,BE,TOYOTA,HILUX 4X4 D/C GR-S II 2.8 TDPI I6C MK-/UTP,,,,,45000000,42000000,,,,,,,,,,,,,,,,,,,,
N,03068BC,A,030,68,20,BC,TOYOTA,HILUX 4X4 D/C GR-S V6 VVTI P6I CAK/T-UP,,,,,41000000,38000000,36000000,34000000,,,,,,,,,,,,,,,,,,
N,03068AW,A,030,68,20,AW,TOYOTA,HILUX 4X4 D/C LIMITED 2.8 TPDIIC 6K -AU/PT,,,,,,,,27398000,26620600,,,,,,,,,,,,,,,,,
N,03068AX,A,030,68,20,AX,TOYOTA,HILUX 4X4 D/C LIMITED 2.8 TPDIIC 6K -MUP/T,,,,,,,,25854400,25099400,,,,,,,,,,,,,,,,,
N,0306896,A,030,68,20,96,TOYOTA,HILUX 4X4 D/C SR 2.8 TDI 6 MP/ICTK-UP,,,,,26053400,25315500,24473200,23796400,22500700,22075100,21655100,,,,,,,,,,,,,,,
N,0306894,A,030,68,20,94,TOYOTA,HILUX 4X4 D/C SRV 2.8 TDI 6 PAI/CTK-UP,,,,,30272300,29507000,28617300,27848200,26303700,25859400,25107400,,,,,,,,,,,,,,,
N,0306895,A,030,68,20,95,TOYOTA,HILUX 4X4 D/C SRV 2.8 TDI 6 PMIC/KT-UP,,,,,28618400,27843700,26953100,26240300,24719100,24282600,23852000,,,,,,,,,,,,,,,
N,0306892,A,030,68,20,92,TOYOTA,HILUX 4X4 D/C SRX 2.8 TDI 6 PAI/CTK-UP,,,,,36245500,33731800,31129900,30356400,28839000,28382200,27618100,,,,,,,,,,,,,,,
N,0306893,A,030,68,20,93,TOYOTA,HILUX 4X4 D/C SRX 2.8 TDI 6 PMIC/KT-UP,,,,,31790700,31004000,30085700,29327400,26462100,26017100,25264300,,,,,,,,,,,,,,,
N,03068CS,A,030,68,20,CS,TOYOTA,HILUX 4X4 DC CONQUEST 2.8P TICDKI- 6U PAT,,52200000,41760000,38840000,,,,,,,,,,,,,,,,,,,,,,
N,03068BM,A,030,68,20,BM,TOYOTA,HILUX 4X4 DC DX 2.4 TDI 6 MPTICK-UP,,36510000,27240000,25340000,23560000,21910000,,,,,,,,,,,,,,,,,,,,
N,03068CM,A,030,68,20,CM,TOYOTA,HILUX 4X4 DC GR-S III 2.8 TDIP 6IC AKT-UP,,,50000000,46500000,,,,,,,,,,,,,,,,,,,,,,
N,03068CT,A,030,68,20,CT,TOYOTA,HILUX 4X4 DC GR-SPORT IV 2P.8IC TKD-UI 6P AT,,58980000,46720000,,,,,,,,,,,,,,,,,,,,,,,
N,03068CR,A,030,68,20,CR,TOYOTA,HILUX 4X4 DC SR 2.8 TDI 6 ATPICK-UP,,44580000,33260000,30930000,,,,,,,,,,,,,,,,,,,,,,
N,03068BL,A,030,68,20,BL,TOYOTA,HILUX 4X4 DC SR 2.8 TDI 6 MPTICK-UP,,42630000,31810000,29580000,27510000,25590000,,,,,,,,,,,,,,,,,,,,
N,03068BG,A,030,68,20,BG,TOYOTA,HILUX 4X4 DC SRV 2.8 TDI 6 APTICK-UP,,49570000,36990000,34400000,31990000,29750000,,,,,,,,,,,,,,,,,,,,
N,03068BJ,A,030,68,20,BJ,TOYOTA,HILUX 4X4 DC SRV 2.8 TDI 6 MPITCK-UP,,46430000,34640000,32220000,29960000,27870000,,,,,,,,,,,,,,,,,,,,
N,03068BH,A,030,68,20,BH,TOYOTA,HILUX 4X4 DC SRX 2.8 TDI 6 APTICK-UP,,52930000,42340000,39380000,36620000,34060000,,,,,,,,,,,,,,,,,,,,
N,03068BK,A,030,68,20,BK,TOYOTA,HILUX 4X4 DC SRX 2.8 TDI 6 MPITCK-UP,,,,40300000,37479000,34855500,,,,,,,,,,,,,,,,,,,,
N,0306890,A,030,68,20,90,TOYOTA,HILUX 4X4 SRV LIMITED PICK-UP,,,,,,,,,,,20018400,19402500,,,,,,,,,,,,,,
N,0306891,A,030,68,20,91,TOYOTA,HILUX 4X4 SRV LIMITED AT PICK-UP,,,,,,,,,,,20326400,19710500,,,,,,,,,,,,,,
N,0306808,A,030,68,20,08,TOYOTA,"HILUX 4X4, CABINA DOBLE SRP5ICK-UP",,,,,,,,,,,,,,,,,,,,,,,,6771100,6432500,6110900
N,0306806,A,030,68,20,06,TOYOTA,"HILUX 4X4, CABINA SIMPLE SPRI5CK-UP",,,,,,,,,,,,,,,,,,,,,,,,6094000,5789300,5499800
N,0306805,A,030,68,20,05,TOYOTA,"HILUX 4X4, CABINA SIMPLE SPTIDCK-UP",,,,,,,,,,,,,,,,,,,,,,,,,5010600,4760100
I,13011182,A,,130,11,182,TOYOTA,HILUX DLX PICK-UP,,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900
I,13034182,A,,130,34,182,TOYOTA,HILUX DLX SIN ESPECIFICACION,,,,,,,,,,,,,,,,,,,,,,,,,5462000,5188900
